rank,moving,country,actual points,moving points,former points,former rank
1 ,,  Brazil,"1,840.77",(-0.53),"1,841",1
2 ,(↑1),  Argentina,"1,786.92",(+13.04),"1,774",3
3 ,(↓1),  Belgium,"1,781.30",(-35.41),"1,817",2
4 ,(↑1),  England,"1,774.07",(+45.60),"1,728",5
5 ,(↓1),  France,"1,770.50",(+10.72),"1,760",4
6 ,(↑2),  Netherlands,"1,738.09",(+43.58),"1,695",8
7 ,(↓1),  Italy,"1,723.55",(-2.59),"1,726",6
8 ,(↑1),  Portugal,"1,702.54",(+25.98),"1,677",9
9 ,(↓2),  Spain,"1,693.43",(-21.79),"1,715",7
10 ,(↑2),  Croatia,"1,674.94",(+29.30),"1,646",12
11 ,(↑4),  Switzerland,"1,655.02",(+19.10),"1,636",15
12 ,(↑4),  USA,"1,652.61",(+25.13),"1,627",16
,,,,,,
13 ,(↓2),  Germany,"1,646.95",(-3.26),"1,650",11
14 ,(↑8),  Morocco,"1,638.72",(+75.22),"1,564",22
15 ,(↓2),  Mexico,"1,635.86",(-9.03),"1,645",13
16 ,(↓2),  Uruguay,"1,627.45",(-11.26),"1,639",14
17 ,,  Colombia,"1,612.78",(+1.74),"1,611",17
18 ,(↓8),  Denmark,"1,608.23",(-58.34),"1,667",10
19 ,(↓1),  Senegal,"1,603.93",(+19.55),"1,584",18
20 ,(↑4),  Japan,"1,593.11",(+33.57),"1,560",24
21 ,(↑2),  Peru,"1,564.30",(+3.29),"1,561",23
22 ,(↑4),  Poland,"1,559.90",(+11.31),"1,549",26
23 ,(↑2),  Sweden,"1,558.47",(+5.14),"1,553",25
24 ,(↓4),  IR Iran,"1,549.32",(-15.29),"1,565",20
25 ,(↑3),  Korea Republic,"1,539.49",(+9.19),"1,530",28
,,,,,,
26 ,,  Ukraine,"1,536.99 ",,"1,537",27
27 ,(↑11),  Australia,"1,534.10",(+45.38),"1,489",38
28 ,(↓9),  Wales,"1,530.15",(-39.67),"1,570",19
29 ,(↑1),  Tunisia,"1,528.64",(+21.10),"1,508",30
30 ,(↓9),  Serbia,"1,526.47",(-37.15),"1,564",21
31 ,(↓2),  Chile,"1,506.91",(-2.70),"1,510",29
32 ,(↓1),  Costa Rica,"1,500.21",(-3.38),"1,504",31
33 ,(↑10),  Cameroon,"1,499.29",(+27.85),"1,471",43
34 ,,  Austria,"1,497.24",(+4.29),"1,493",34
35 ,(↓3),  Nigeria,"1,494.33",(-4.14),"1,498",32
36 ,(↓3),  Russia,"1,493.93",(-2.18),"1,496",33
